time,reward,temperature:thermostat,temperature:userpref,temperature,load_ahu
2002-07-17 08:50:00+00:00,-0.4869316388335333,22.100000381469727,25.0,22.080694212990654,0.9738632776670649
2002-07-17 09:05:00+00:00,-0.4892990008633793,22.100000381469727,25.0,22.096956543684502,0.9785980017261492
2002-07-17 09:15:00+00:00,-0.4913865111631691,22.100000381469727,25.0,22.097988067293052,0.982773022326311
2002-07-17 09:23:20+00:00,-0.5549589037125618,22.0,25.0,22.002478173072817,1.1099178074227738
2002-07-17 09:33:20+00:00,-0.5579542077881899,22.00150161660332,25.0,22.00001927692181,1.1159084155760293
2002-07-17 09:45:00+00:00,-0.5655089943832983,22.075377987275886,25.0,22.066929741400187,1.1310179887607459
2002-07-17 09:55:00+00:00,-0.5696072588279167,22.0,25.0,22.00401653531128,1.1392145176548545
2002-07-17 10:05:00+00:00,-0.5755976171298594,22.00819067503221,25.0,22.005822539906582,1.1511952342567382
2002-07-17 10:10:00+00:00,-0.582927138305503,22.094389354639986,25.0,22.070727396501685,1.1658542766048203
2002-07-17 10:20:00+00:00,-0.5853594292518821,22.078440467725443,25.0,22.07362025156177,1.170718858502509
2002-07-17 10:30:00+00:00,-0.5964859273746758,22.069854067006304,25.0,22.067826651803426,1.192971854746864
2002-07-17 10:40:00+00:00,-0.6020783623495195,22.065618760859053,25.0,22.063246945262687,1.2041567246949079
2002-07-17 10:50:00+00:00,-0.6148370744488809,22.026326563053942,25.0,22.032669810990893,1.2296741488933185
2002-07-17 11:00:00+00:00,-0.6216165444715889,22.077184903014597,25.0,22.06340198756081,1.2432330889429064
2002-07-17 11:10:00+00:00,-0.636873811600143,22.024515197811525,25.0,22.031678474235203,1.2737476231965719
2002-07-17 11:20:00+00:00,-0.6416886711177497,22.005685863726967,25.0,22.009654914775695,1.2833773422354402
2002-07-17 11:30:00+00:00,-0.6552959618550465,22.06142129859019,25.0,22.045630261516514,1.310591923705549
2002-07-17 11:40:00+00:00,-0.6647664619039395,22.00463875513549,25.0,22.012753450310782,1.329532923800887
2002-07-17 11:50:00+00:00,-0.6702182516421994,22.01674767266792,25.0,22.01312544511164,1.3404365032772454
2002-07-17 12:00:00+00:00,-0.6812780549838804,22.081860106529405,25.0,22.061496512872022,1.3625561099673849
2002-07-17 12:10:00+00:00,-0.6944365987340934,22.07469144941774,25.0,22.06861998844171,1.3888731974645476
2002-07-17 12:20:00+00:00,-0.640498770591876,22.00616439548253,25.0,22.01925435501964,1.2809975411828596
2002-07-17 12:30:00+00:00,-0.6455725594458318,22.078966301907542,25.0,22.06221512356751,1.2911451188881098
2002-07-17 12:40:00+00:00,-0.6463594735010499,22.084688754085278,25.0,22.076696166553457,1.2927189470017069
2002-07-17 12:50:00+00:00,-0.6543767161103938,22.093550487590335,25.0,22.08692285253611,1.3087534322166932
2002-07-17 13:00:00+00:00,-0.6574365426233902,22.062309838105108,25.0,22.06586582738259,1.3148730852436363
2002-07-17 13:10:00+00:00,-0.6652393776313812,22.100000381469727,25.0,22.089122117362688,1.3304787552596251
2002-07-17 13:20:00+00:00,-0.6632339725680965,22.047627936194914,25.0,22.055489357354315,1.3264679451315942
2002-07-17 13:30:00+00:00,-0.669357616776444,22.100000381469727,25.0,22.086539831439453,1.3387152335517654
2002-07-17 13:40:00+00:00,-0.6723181589592822,22.100000381469727,25.0,22.094081763715753,1.3446363179184677
2002-07-17 13:50:00+00:00,-0.6808564087801373,22.015476247100594,25.0,22.032977751287746,1.3617128175595201
2002-07-17 14:00:00+00:00,-0.6756915007934977,22.09629411177633,25.0,22.078136424088626,1.351383001586992
2002-07-17 14:10:00+00:00,-0.6832480589321432,22.043468933969805,25.0,22.049798939660523,1.3664961178642814
2002-07-17 14:25:00+00:00,-0.7353858199029714,22.100000381469727,25.0,22.13691043323334,1.4707716397998598
2002-07-17 14:31:00+00:00,-0.7373809431695297,22.00818651163189,25.0,22.187728024927452,1.4747618863344902
2002-07-17 14:41:00+00:00,-0.7722797865748757,22.100000381469727,25.0,22.252332766649506,1.5445595731497166
2002-07-17 14:53:20+00:00,-0.7902462282091077,22.08520591575848,25.0,22.268150825237974,1.5804924564168743
2002-07-17 15:05:00+00:00,-0.8095927520490949,22.01630005795954,25.0,22.281039424496118,1.6191855040950427
2002-07-17 15:15:00+00:00,-0.7715020902834595,22.022774556730155,25.0,22.3040065419453,1.5430041805669132
2002-07-17 15:20:00+00:00,-0.7764870007563404,22.04909957750803,25.0,22.3201902144065,1.5529740015124476
2002-07-17 15:30:00+00:00,-0.7713846992360397,22.090980304641562,25.0,22.328370416861173,1.5427693984701052
2002-07-17 15:40:00+00:00,-0.7678969887861766,22.078542499345588,25.0,22.333371967387762,1.535793977572244
2002-07-17 15:50:00+00:00,-0.7637907774870806,22.0,25.0,22.33653255421109,1.5275815549741536
2002-07-17 16:00:00+00:00,-0.7596350118452458,22.06494469979077,25.0,22.337098747106268,1.5192700236899654
2002-07-17 16:10:00+00:00,-0.755769327137054,22.01499229428191,25.0,22.334646177355506,1.5115386542740972
2002-07-17 16:20:00+00:00,-0.7520688969535628,22.100000381469727,25.0,22.32934597989423,1.5041377939067466
2002-07-17 16:30:00+00:00,-0.7484641721775309,22.100000381469727,25.0,22.32154630647087,1.4969283443547536
2002-07-17 16:40:00+00:00,-0.7448904776278396,22.07133038432164,25.0,22.31144271460045,1.489780955253758
2002-07-17 16:50:00+00:00,-0.7410139486641645,22.021468131181905,25.0,22.2984429190467,1.4820278973282965
2002-07-17 17:00:00+00:00,-0.7369411418827384,22.100000381469727,25.0,22.282250787643363,1.4738822837637404
2002-07-17 17:10:00+00:00,-0.7327443014511802,22.028511197847706,25.0,22.263134883306787,1.4654886028980905
2002-07-17 17:21:00+00:00,-0.5706838671074898,22.014055860017038,25.0,22.03518607714634,1.1413677342111643
2002-07-17 17:32:30+00:00,-0.5610733605780985,22.04877315366089,25.0,22.047609838949867,1.1221467211541607
2002-07-17 17:45:00+00:00,-0.5556062373020569,22.100000381469727,25.0,22.094208994186097,1.11121247460079
2002-07-17 17:50:00+00:00,-0.5519341528831387,22.083182053186363,25.0,22.08436126162011,1.1038683057619232
2002-07-17 18:00:00+00:00,-0.5446532055524758,22.07006476873923,25.0,22.071215606280344,1.0893064110984279
2002-07-17 18:15:00+00:00,-0.5400601154269058,22.01414397687978,25.0,22.01751042493477,1.0801202308464835
2002-07-17 18:25:00+00:00,-0.5040697266795474,22.006906392693963,25.0,22.006319504826514,1.008139453357327
2002-07-17 18:35:00+00:00,-0.500128994289965,22.100000381469727,25.0,22.09264367299882,1.0002579885798994
2002-07-17 18:45:00+00:00,-0.4938823626324881,22.06616166885678,25.0,22.06650785266026,0.9877647252629757
2002-07-17 18:55:00+00:00,-0.49175250758592937,22.07739300150473,25.0,22.07528678793563,0.9835050151718139
2002-07-17 19:00:00+00:00,-0.4879825823621007,22.068615054568454,25.0,22.067842533672668,0.9759651647241828
2002-07-17 19:10:00+00:00,0.0,22.06330659697096,25.0,22.062056748618225,0.9704831608613517
2002-07-17 19:21:00+00:00,0.0,22.02705989520709,25.0,23.446842353872714,0.0
2002-07-17 19:31:00+00:00,0.0,22.0,25.0,25.038521061725223,0.0
2002-07-17 19:42:00+00:00,0.0,22.094378128062317,25.0,25.277789121449068,0.0
2002-07-17 19:50:00+00:00,0.0,22.0,25.0,25.481030170483187,0.0
2002-07-17 20:05:00+00:00,0.0,22.061985125662858,25.0,25.698655045351707,0.0
2002-07-17 20:15:00+00:00,0.0,22.06898882629085,25.0,26.09725439025368,0.0
2002-07-17 20:25:00+00:00,0.0,22.0,25.0,26.340458285594245,0.0
2002-07-17 20:30:00+00:00,0.0,22.04912830854653,25.0,26.496788704847404,0.0
2002-07-17 20:40:00+00:00,0.0,22.100000381469727,25.0,26.605347480300612,0.0
2002-07-17 20:50:00+00:00,0.0,22.000276736480657,25.0,26.678726870026757,0.0
2002-07-17 21:00:00+00:00,0.0,22.0,25.0,26.724129651595753,0.0
2002-07-17 21:10:00+00:00,0.0,22.02417428178478,25.0,26.74915702539514,0.0
2002-07-17 21:20:00+00:00,0.0,22.100000381469727,25.0,26.760929332992156,0.0
2002-07-17 21:30:00+00:00,0.0,22.040486125117667,25.0,26.764751681482274,0.0
2002-07-17 21:40:00+00:00,0.0,22.0,25.0,26.763715820265773,0.0
2002-07-17 21:50:00+00:00,0.0,22.031641288103742,25.0,26.759564805676817,0.0
2002-07-17 22:00:00+00:00,0.0,22.019731295871622,25.0,26.75322025482766,0.0
2002-07-17 22:10:00+00:00,0.0,22.0256870653609,25.0,26.745294209270437,0.0
2002-07-17 22:20:00+00:00,0.0,22.070824291273198,25.0,26.736241064000524,0.0
2002-07-17 22:30:00+00:00,0.0,22.100000381469727,25.0,26.72633794177292,0.0
2002-07-17 22:40:00+00:00,0.0,22.01361427732172,25.0,26.71574818880025,0.0
2002-07-17 22:50:00+00:00,0.0,22.02749822794675,25.0,26.704600975794687,0.0
2002-07-17 23:00:00+00:00,0.0,22.0,25.0,26.69299249741148,0.0
2002-07-17 23:10:00+00:00,0.0,22.100000381469727,25.0,26.680992645873566,0.0
2002-07-17 23:20:00+00:00,0.0,22.013100018405794,25.0,26.669549096389762,0.0
